ich;já;I;core500 A1_Core_200_Most_Frequent_Words
du;ty;you (sg);core500 A1_Core_200_Most_Frequent_Words
er;on;he;core500 A1_Core_200_Most_Frequent_Words
sie;ona;she;core500 A1_Core_200_Most_Frequent_Words
es;ono/to;it;core500 A1_Core_200_Most_Frequent_Words
wir;my;we;core500 A1_Core_200_Most_Frequent_Words
ihr/Sie;vy;you (pl);core500 A1_Core_200_Most_Frequent_Words
sie;oni;they;core500 A1_Core_200_Most_Frequent_Words
der/die/das;ten/ta/to;this/that/the;core500 A1_Core_200_Most_Frequent_Words
dieser;tento;this;core500 A1_Core_200_Most_Frequent_Words
jener;tamten;that;core500 A1_Core_200_Most_Frequent_Words
wer;kdo;who;core500 A1_Core_200_Most_Frequent_Words
was;co;what;core500 A1_Core_200_Most_Frequent_Words
welcher;který;which;core500 A1_Core_200_Most_Frequent_Words
alles;všechno;everything;core500 A1_Core_200_Most_Frequent_Words
nichts;nic;nothing;core500 A1_Core_200_Most_Frequent_Words
jemand;někdo;someone;core500 A1_Core_200_Most_Frequent_Words
niemand;nikdo;nobody;core500 A1_Core_200_Most_Frequent_Words
etwas;něco;something;core500 A1_Core_200_Most_Frequent_Words
jeder;každý;every/each;core500 A1_Core_200_Most_Frequent_Words
anderer;jiný/další;other/another;core500 A1_Core_200_Most_Frequent_Words
gleicher;stejný;same;core500 A1_Core_200_Most_Frequent_Words
selbst;sám/sama;self;core500 A1_Core_200_Most_Frequent_Words
sein/ihr;svůj;one's own;core500 A1_Core_200_Most_Frequent_Words
solcher;takový;such;core500 A1_Core_200_Most_Frequent_Words
sein;být;to be;core500 A1_Core_200_Most_Frequent_Words
haben;mít;to have;core500 A1_Core_200_Most_Frequent_Words
machen/tun;dělat;to do/make;core500 A1_Core_200_Most_Frequent_Words
sagen;říci/říkat;to say;core500 A1_Core_200_Most_Frequent_Words
gehen;jít;to go;core500 A1_Core_200_Most_Frequent_Words
können;moci/moct;can/to be able;core500 A1_Core_200_Most_Frequent_Words
wissen;vědět;to know;core500 A1_Core_200_Most_Frequent_Words
wollen;chtít;to want;core500 A1_Core_200_Most_Frequent_Words
sehen;vidět;to see;core500 A1_Core_200_Most_Frequent_Words
geben;dát;to give;core500 A1_Core_200_Most_Frequent_Words
nehmen;vzít;to take;core500 A1_Core_200_Most_Frequent_Words
kommen;přijít;to come;core500 A1_Core_200_Most_Frequent_Words
denken;myslet;to think;core500 A1_Core_200_Most_Frequent_Words
