ты;ty;you (sg);core500 A1_Core_200_Most_Frequent_Words
он;on;he;core500 A1_Core_200_Most_Frequent_Words
она;ona;she;core500 A1_Core_200_Most_Frequent_Words
оно/это;ono/to;it;core500 A1_Core_200_Most_Frequent_Words
мы;my;we;core500 A1_Core_200_Most_Frequent_Words
вы;vy;you (pl);core500 A1_Core_200_Most_Frequent_Words
они;oni;they;core500 A1_Core_200_Most_Frequent_Words
тот/та/то;ten/ta/to;this/that/the;core500 A1_Core_200_Most_Frequent_Words
этот;tento;this;core500 A1_Core_200_Most_Frequent_Words
тот;tamten;that;core500 A1_Core_200_Most_Frequent_Words
кто;kdo;who;core500 A1_Core_200_Most_Frequent_Words
что;co;what;core500 A1_Core_200_Most_Frequent_Words
который;který;which;core500 A1_Core_200_Most_Frequent_Words
всё;všechno;everything;core500 A1_Core_200_Most_Frequent_Words
ничего;nic;nothing;core500 A1_Core_200_Most_Frequent_Words
кто-то;někdo;someone;core500 A1_Core_200_Most_Frequent_Words
никто;nikdo;nobody;core500 A1_Core_200_Most_Frequent_Words
что-то;něco;something;core500 A1_Core_200_Most_Frequent_Words
каждый;každý;every/each;core500 A1_Core_200_Most_Frequent_Words
другой;jiný/další;other/another;core500 A1_Core_200_Most_Frequent_Words
такой же;stejný;same;core500 A1_Core_200_Most_Frequent_Words
сам/сама;sám/sama;self;core500 A1_Core_200_Most_Frequent_Words
свой;svůj;one's own;core500 A1_Core_200_Most_Frequent_Words
такой;takový;such;core500 A1_Core_200_Most_Frequent_Words
быть;být;to be;core500 A1_Core_200_Most_Frequent_Words
иметь;mít;to have;core500 A1_Core_200_Most_Frequent_Words
делать;dělat;to do/make;core500 A1_Core_200_Most_Frequent_Words
сказать/говорить;říci/říkat;to say;core500 A1_Core_200_Most_Frequent_Words
идти;jít;to go;core500 A1_Core_200_Most_Frequent_Words
мочь;moci/moct;can/to be able;core500 A1_Core_200_Most_Frequent_Words
знать;vědět;to know;core500 A1_Core_200_Most_Frequent_Words
хотеть;chtít;to want;core500 A1_Core_200_Most_Frequent_Words
видеть;vidět;to see;core500 A1_Core_200_Most_Frequent_Words
дать;dát;to give;core500 A1_Core_200_Most_Frequent_Words
взять;vzít;to take;core500 A1_Core_200_Most_Frequent_Words
прийти;přijít;to come;core500 A1_Core_200_Most_Frequent_Words
думать;myslet;to think;core500 A1_Core_200_Most_Frequent_Words
получить;dostat;to get/receive;core500 A1_Core_200_Most_Frequent_Words
найти;najít;to find;core500 A1_Core_200_Most_Frequent_Words
писать;psát;to write;core500 A1_Core_200_Most_Frequent_Words
читать;číst;to read;core500 A1_Core_200_Most_Frequent_Words
говорить;mluvit;to speak;core500 A1_Core_200_Most_Frequent_Words
жить;žít;to live;core500 A1_Core_200_Most_Frequent_Words
стоять;stát;to stand;core500 A1_Core_200_Most_Frequent_Words
сидеть;sedět;to sit;core500 A1_Core_200_Most_Frequent_Words
есть;jíst;to eat;core500 A1_Core_200_Most_Frequent_Words
пить;pít;to drink;core500 A1_Core_200_Most_Frequent_Words
спать;spát;to sleep;core500 A1_Core_200_Most_Frequent_Words
умереть;umřít/zemřít;to die;core500 A1_Core_200_Most_Frequent_Words
родиться;narodit se;to be born;core500 A1_Core_200_Most_Frequent_Words
любить;milovat;to love;core500 A1_Core_200_Most_Frequent_Words
работать;pracovat;to work;core500 A1_Core_200_Most_Frequent_Words
играть;hrát;to play;core500 A1_Core_200_Most_Frequent_Words
купить;koupit;to buy;core500 A1_Core_200_Most_Frequent_Words
заплатить;zaplatit;to pay;core500 A1_Core_200_Most_Frequent_Words
спрашивать;ptát se;to ask;core500 A1_Core_200_Most_Frequent_Words
ответить;odpovědět;to answer;core500 A1_Core_200_Most_Frequent_Words
начать;začít;to begin;core500 A1_Core_200_Most_Frequent_Words
закончить;skončit;to end/finish;core500 A1_Core_200_Most_Frequent_Words
